long,lat,zb
21.52363421,21.5424849,31.0388813
21.97279185,21.5424849,31.2395649
22.42194949,21.5424849,31.66435051
22.87110713,21.5424849,32.28820419
23.32026478,21.5424849,33.02052689
23.76942242,21.5424849,33.73944855
24.21858006,21.5424849,34.45224762
24.6677377,21.5424849,35.1512146
25.11689534,21.5424849,35.7957077
25.56605299,21.5424849,36.34532166
26.01521063,21.5424849,36.76225662
26.46436827,21.5424849,36.85691833
26.91352591,21.5424849,36.60052109
27.36268355,21.5424849,36.22014236
27.8118412,21.5424849,36.16020966
28.26099884,21.5424849,36.84782791
28.71015648,21.5424849,38.03569031
29.15931412,21.5424849,39.35473251
29.60847176,21.5424849,40.45453644
30.05762941,21.5424849,41.0285759
30.50678705,21.5424849,40.88541794
30.95594469,21.5424849,40.12080383
31.40510233,21.5424849,38.97747421
31.85425997,21.5424849,37.79193497
32.30341762,21.5424849,36.95449448
32.75257526,21.5424849,36.79007339
33.2017329,21.5424849,37.24863815
33.65089054,21.5424849,38.13260651
34.10004819,21.5424849,39.15493774
34.54920583,21.5424849,39.96593475
34.99836347,21.5424849,40.27713394
35.44752111,21.5424849,40.22238159
35.89667875,21.5424849,39.98207092
36.3458364,21.5424849,39.67761612
36.79499404,21.5424849,39.37144852
37.24415168,21.5424849,39.08627701
37.69330932,21.5424849,38.82400513
38.14246696,21.5424849,38.58050156
38.59162461,21.5424849,38.35472107
39.04078225,21.5424849,38.14531326
21.07447657,21.96208434,32.14595795
21.52363421,21.96208434,32.12428284
21.97279185,21.96208434,32.31302261
22.42194949,21.96208434,32.70500183
22.87110713,21.96208434,33.26649475
23.32026478,21.96208434,33.86748505
23.76942242,21.96208434,34.27052689
24.21858006,21.96208434,34.59885025
24.6677377,21.96208434,34.8833046
25.11689534,21.96208434,35.09840012
25.56605299,21.96208434,35.25728989
26.01521063,21.96208434,35.48459244
26.46436827,21.96208434,35.36706924
26.91352591,21.96208434,34.7917366
27.36268355,21.96208434,34.00543213
27.8118412,21.96208434,33.62849426
28.26099884,21.96208434,34.56455612
28.71015648,21.96208434,36.13218689
29.15931412,21.96208434,37.82740784
29.60847176,21.96208434,39.28973007
30.05762941,21.96208434,40.20565033
30.50678705,21.96208434,40.30672836
30.95594469,21.96208434,39.78077316
31.40510233,21.96208434,38.87259293
31.85425997,21.96208434,37.89095688
32.30341762,21.96208434,37.24827957
32.75257526,21.96208434,37.44004059
33.2017329,21.96208434,38.23604202
33.65089054,21.96208434,39.39818573
34.10004819,21.96208434,40.62956238
34.54920583,21.96208434,41.4958725
34.99836347,21.96208434,41.44876099
35.44752111,21.96208434,40.89970398
35.89667875,21.96208434,40.13699722
36.3458364,21.96208434,39.32393265
36.79499404,21.96208434,38.5486145
37.24415168,21.96208434,37.84371567
37.69330932,21.96208434,37.20024109
38.14246696,21.96208434,36.59649658
38.59162461,21.96208434,36.02145004
39.04078225,21.96208434,35.47258377
21.07447657,22.38043407,32.93462372
21.52363421,22.38043407,32.9894104
21.97279185,22.38043407,33.19821548
22.42194949,22.38043407,33.57102966
22.87110713,22.38043407,34.10431671
23.32026478,22.38043407,34.68751144
23.76942242,22.38043407,34.86843109
24.21858006,22.38043407,35.0020256
24.6677377,22.38043407,35.10327911
25.11689534,22.38043407,35.09943008
25.56605299,22.38043407,34.97171402
26.01521063,22.38043407,35.18642044
26.46436827,22.38043407,34.94959259
26.91352591,22.38043407,34.14112854
27.36268355,22.38043407,33.00175476
27.8118412,22.38043407,32.17713547
28.26099884,22.38043407,33.47993851
28.71015648,22.38043407,35.34525681
29.15931412,22.38043407,37.27988815
29.60847176,22.38043407,38.97533417
30.05762941,22.38043407,40.1369133
30.50678705,22.38043407,40.31125641
30.95594469,22.38043407,39.88282776
31.40510233,22.38043407,39.08158493
31.85425997,22.38043407,38.1692276
32.30341762,22.38043407,37.5284729
32.75257526,22.38043407,38.0216713
33.2017329,22.38043407,39.04148483
33.65089054,22.38043407,40.36898804
34.10004819,22.38043407,41.74742126
34.54920583,22.38043407,42.73498154
34.99836347,22.38043407,42.24628067
35.44752111,22.38043407,41.21377945
35.89667875,22.38043407,39.94656754
36.3458364,22.38043407,38.63244629
36.79499404,22.38043407,37.40600204
37.24415168,22.38043407,36.32840729
37.69330932,22.38043407,35.37423325
38.14246696,22.38043407,34.48685455
38.59162461,22.38043407,33.63020706
39.04078225,22.38043407,32.79470825
21.07447657,22.79751544,33.46037674
21.52363421,22.79751544,33.67309952
21.97279185,22.79751544,33.9132309
22.42194949,22.79751544,34.2271843
22.87110713,22.79751544,34.64214706
23.32026478,22.79751544,35.08766556
23.76942242,22.79751544,35.37443542
24.21858006,22.79751544,35.64213943
24.6677377,22.79751544,35.90792847
25.11689534,22.79751544,36.10279846
25.56605299,22.79751544,36.17977905
26.01521063,22.79751544,36.22431946
26.46436827,22.79751544,35.85386276
26.91352591,22.79751544,35.01407623
27.36268355,22.79751544,34.00502014
27.8118412,22.79751544,33.48091888
28.26099884,22.79751544,34.35871124
28.71015648,22.79751544,35.96093369
29.15931412,22.79751544,37.76881409
29.60847176,22.79751544,39.39300919
30.05762941,22.79751544,40.48744583
30.50678705,22.79751544,40.76842117
30.95594469,22.79751544,40.44092941
31.40510233,22.79751544,39.7621994
31.85425997,22.79751544,39.02222061
32.30341762,22.79751544,38.59286118
32.75257526,22.79751544,38.93624115
33.2017329,22.79751544,39.81420898
33.65089054,22.79751544,40.98188782
